isbn,title,series,year_quarter,q_num,q_since_first,trandate,marked_price,book_original_price,invoice,quantity,price,discount,disc_amt,amount,year,month,first_trandate
9781509839162,Andy Griffiths: The 91-Storey Treehouse (Export Edt),andy_griffiths,2019Q4,4,23,2019-12-05,89.0,95.00,30006805,56,68.885,70,0,1157.245,2019,12,2014-01-03
9781509833757,Andy Griffiths: The 78-Storey Treehouse (Export Edt),andy_griffiths,2019Q4,4,23,2019-12-05,89.0,95.00,30006805,56,68.885,70,0,1157.245,2019,12,2014-01-03
9781447279785,Andy Griffiths: The 13-Storey Treehouse (Export Edt),andy_griffiths,2019Q4,4,23,2019-12-05,89.0,95.00,30006805,40,57.385,70,0,688.62,2019,12,2014-01-03
9781338603323,Captain Underpants Colossal Color Collection HB: Book #1-5,captain_underpants,2019Q4,4,23,2019-12-17,499.5,499.50,30006913,20,392.1075,65,0,2744.7525,2019,12,2014-01-03
9781338603347,Dog Man Super Epic Collection #1-6 HB Set,dog_man,2019Q4,4,23,2019-12-17,599.0,599.00,30006913,25,470.529,65,0,4117.0895,2019,12,2014-01-03
9781338271515,Captain Underpants #8 HB Colour: and the Preposterous Plight of the Purple Potty,captain_underpants,2019Q4,4,23,2019-12-17,99.9,99.90,30006913,31,78.4215,65,0,850.8615,2019,12,2014-01-03
9781338262469,Captain Underpants Epic Comix Collection #1: George And Harolds,captain_underpants,2019Q4,4,23,2019-12-17,99.9,99.90,30006913,29,78.4215,65,0,795.99,2019,12,2014-01-03
9789814820042,Dog Man (PB) #04: Dog Man And Cat Kid,dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006945,60,62.7215,65,0,1317.1515,2020,4,2014-01-03
9789814864046,Captain Underpants #6 Colour Edition PB: Big Bad Battle of the Bionic Booger PT1,captain_underpants,2020Q2,2,25,2020-04-01,89.9,79.90,30006945,25,62.7215,65,0,548.7935,2020,4,2014-01-03
9789814820042,Dog Man (PB) #04: Dog Man And Cat Kid,dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006947,40,62.7215,65,0,878.101,2020,4,2014-01-03
9789811157486,Dog Man (PB) #02: Unleashed,dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006945,60,62.7215,65,0,1317.1515,2020,4,2014-01-03
9789814857970,Captain Underpants #1 Color Edition: The Adventures of Captain Underpants,captain_underpants,2020Q2,2,25,2020-04-01,89.9,79.90,30006945,25,62.7215,65,0,548.7935,2020,4,2014-01-03
9789811157486,Dog Man (PB) #02: Unleashed,dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006947,40,62.7215,65,0,878.101,2020,4,2014-01-03
9789811157479,Dog Man (PB),dog_man,2020Q2,2,25,2020-04-01,79.9,69.90,30006945,60,62.7215,65,0,1317.1515,2020,4,2014-01-03
