isbn,title,publisher,publication_date,book_format,reading_age,print_length,item_weight,length,width,height,rating,number_of_reviews,price,best_sellers_rank,customer_reviews
9781407583044,Disney Mini Board Books - Princess - Ariel: Underwater World,parragon,,board book,,-0.4403483447849264,-0.639409787183841,,,,,,-0.24934568315212416,,
9780679805274,"Oh, the Places You'll Go!",random_house_books_for_young_readers,1990-01-22,kindle,toddler,-0.16696623720684625,-0.0948053938604291,1.0268609388766776,0.8476360196822773,-0.36016752398850177,0.7206056205897218,7.220984031278645,-0.26175076232322697,-0.8253783599967612,0.7206056205897218
9781474915083,"The Usborne Reading Collection (Yellow Set) [Oct 19, 2015] Usborne",usborne,2015-10-19,paperback,,,9.534917417314565,-0.008691714632906102,0.6935252048103293,6.519421222449743,0.14806235219803623,-0.23776359521945473,2.2519100170844486,-0.2396097104408221,0.14806235219803623
9780698177444,Little Miss Trouble and the Mermaid (Mr. Men and Little Miss),price_stern_sloan,2008-05-01,kindle,preschool,-0.30960038029106196,,,,,0.33891010832859864,-0.22821442101676107,-0.35968559788456494,,0.33891010832859864
9780736434560,The Big Case (Disney Zootopia) (Step into Reading),penguin_random_house,2016-01-19,kindle,preschool,-0.30960038029106196,,0.00019714934571674511,-0.4237782030112885,-0.7706779635907839,0.14806235219803623,-0.24015088877012813,-0.35968559788456494,-0.8162036301639893,0.14806235219803623
9780916119416,What's the Weather Like Today? (Emergent Reader Science; Level 2),creative_teaching_pr,1998-01-01,paperback,,-0.40468980901387247,-0.8209445849583116,0.00019714934571674511,-0.2861792611613355,-0.6008115747898395,-1.187871940715893,-0.260653527499441,-0.27285004368684523,0.21513966798314818,-1.187871940715893
9781782356189,Sleeping Beauty (Reading with Phonics),make_believe_ideas,2013-01-01,hardcover,,-0.30960038029106196,1.5920718039208057,-1.062022096099736,-1.1282847852830478,-0.40263412118873776,-0.042785403932524495,-0.2574236597544122,-0.28623447121356144,,-0.042785403932524495
9780723292081,Peppa Pig: Practise with Peppa: Wipe-Clean Writing,penguin_random_house,2014-06-05,paperback,,-0.40468980901387247,-0.8900674502647447,1.195749354470515,0.8476360196822773,-0.8414556255911774,0.14806235219803623,0.5508858506971271,-0.24640763808528396,-0.7573489234971245,0.14806235219803623
9781409550259,Look Inside Things That Go (International Edition),usborne,2013-01-01,board book,,-0.41657598760422376,0.0727651887006206,-0.09758035441913694,0.6054618820263599,-0.17614560278747862,0.5297578644591594,-0.08820667572138498,-0.021157516294206563,-0.5738688006088362,0.5297578644591594
9781338323214,Dog Man: Fetch-22: A Graphic Novel (Dog Man #8): From the Creator of Captain Underpants,graphix,2019-12-10,kindle,preadolescence,0.9265621931054742,0.4079063538227202,-0.3331352498526471,-0.5613771448612415,0.10696504521409518,0.7206056205897218,4.369432099515449,-0.26175076232322697,-0.8253428583037543,0.7206056205897218
9781742114866,The Things I Love About Me,five_mile,2025-09-01,hardcover,toddler,-0.3571450946524672,-0.03894853300674591,0.22241874881129264,1.502606982888053,-0.24692326478787216,0.33891010832859864,-0.2550363662037388,-0.3143091240744784,-0.41204225264525063,0.33891010832859864
9780736430937,The Journey Home (Disney/Pixar The Good Dinosaur) (Step into Reading),penguin_random_house,2015-10-13,kindle,preschool,-0.3571450946524672,,0.00019714934571674511,-0.4237782030112885,-0.7423668987906265,0.33891010832859864,-0.23341029521528556,-0.39233054307167764,-0.5172517929611917,0.33891010832859864
9782764322512,Disney Minnie Stuck on Stories,phidal,2013-02-01,board book,,-0.4403483447849264,0.3520494929690369,,,,-0.8061764284547708,-0.25784494685158993,0.0908146456975899,0.3849756709790401,-0.8061764284547708
9781403144461,Dianetics: The Modern Science of Mental Health,"bridge_publications,_inc.",2007-11-01,,others,3.5296353043924116,2.027755318579535,0.09797465311057042,-0.22563572674735602,1.4234295584214136,-0.6153286723242083,0.007425495337944124,-0.49026537863301567,-0.8210799242434623,-0.6153286723242083
9780981924205,Winning with Accountability: The Secret Language of High-Performing Organizations,cornerstone_leadership_institute,2008-10-12,kindle,,0.10047278107605824,-0.5416602806898952,0.00019714934571674511,-0.4237782030112885,-0.6008115747898395,-0.042785403932524495,-0.19029858227077157,-0.05902565271125727,-0.8112077226880777,-0.042785403932524495
