isbn,title,series,year_quarter,format,channel,q_num,q_since_first,avg_discount_rate,print_length,item_weight,length,width,height,rating,price,quantity
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2019Q2,hardcover,retail,2,1,5.77,,,,,,,,26.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2020Q2,hardcover,retail,2,5,3.13,,,,,,,,16.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2020Q4,hardcover,retail,4,7,8.46,,,,,,,,13.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2020Q3,hardcover,retail,3,6,4.62,,,,,,,,13.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2019Q4,hardcover,retail,4,3,8.33,,,,,,,,12.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2021Q2,hardcover,retail,2,9,5.00,,,,,,,,12.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2019Q3,hardcover,retail,3,2,1.82,,,,,,,,11.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2023Q1,hardcover,retail,1,16,0.91,,,,,,,,11.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2023Q2,hardcover,retail,2,17,2.00,,,,,,,,10.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2020Q1,hardcover,retail,1,4,18.33,,,,,,,,9.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2021Q3,hardcover,retail,3,10,12.22,,,,,,,,9.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2019Q3,hardcover,consignment,3,2,0.00,,,,,,,,8.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2022Q3,hardcover,consignment,3,14,0.00,,,,,,,,8.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2021Q4,hardcover,retail,4,11,2.86,,,,,,,,7.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2021Q3,hardcover,consignment,3,10,0.00,,,,,,,,6.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2022Q4,hardcover,retail,4,15,14.17,,,,,,,,6.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2022Q1,hardcover,retail,1,12,10.00,,,,,,,,6.00
9781338271508,"Captain Underpants & the Big,Bad Battle of the Bionic Booger Boy,Part 2 (Color)",captain_underpants,2022Q3,hardcover,retail,3,14,6.00,,,,,,,,5.00
