isbn,data_source,title,authors,publisher,publication_date,language,page_count,categories,average_rating,ratings_count,description,thumbnail,binding,dimensions,weight
9780375832413,Google Books,Dancing Dinos Go to School,Sally Lucas,Random House Books for Young Readers,2006-07-11,en,33.0,Juvenile Fiction,,,"The dancing dinos are back, and this time they are taking over the classroom in this fun, rhyming Step 1 reader that is perfect for back to school! Dinos dancing in a book. Dinos leaping, look, look, look! Dinos pasting red and blue. Dinos wasting paint and glue! When the dancing dino's book turns up in a school library, they leap out and bring their musical mayhem to a kid’s classroom! Step 1 Readers feature big type and easy words for children who know the alphabet and are eager to begin readi",http://books.google.com/books/content?id=IE2TEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375834219,Google Books,Mary Clare Likes to Share,Joy N. Hulme,Random House Books for Young Readers,2006,en,36.0,Juvenile Fiction,,,"Mary Clare divides treats into halves, thirds, or other fractional parts to make sure that each of her friends or family members can enjoy an equal share.",http://books.google.com/books/content?id=nzXYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375834486,Google Books,Tae Kwon Do!,Terry Pierce,Random House Books for Young Readers,2006-04-25,en,0.0,Juvenile Fiction,,,"We’re off to Tae Kwon Do class, where we’ll learn to kick, spin, box, jump, and even break a board! We’ll also have fun in this simple Step 1 book. Perfect for kids who are both learning to read and learning Tae Kwon Do or another martial art.",http://books.google.com/books/content?id=LE2TEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375842894,Google Books,Thomas and the Jet Engine,"R. Schuyler Hooke, W. Awdry",Random House Books for Young Readers,2009,en,36.0,Juvenile Fiction,,,"When the jet engine that Thomas the Tank Engine is transporting to the airport accidentally gets switched on, Thomas suddenly becomes the fastest engine on the island.",http://books.google.com/books/content?id=HpM9oaZeJ1YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375845628,Google Books,Panda Kisses,Alyssa Satin Capucilli,Random House Books for Young Readers,2008-12-09,en,34.0,Juvenile Fiction,,,"This Step 1 Step into Reading title is about a Baby Panda who is on a mission to find the perfect type of kiss! Baby Panda's parents offer “A soft kiss? A sweet kiss? A sticky bamboo treat kiss” but after everything, his perfect kiss might've been in front of him the whole time... From one of the most recognizable names in the easy-to-read field, this sweet Step 1 features big type and easy words for children who know the alphabet and are eager to begin reading. A rhyming text with a bouncy rhyt",http://books.google.com/books/content?id=TV-UDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375852084,Google Books,Super Friends: Flying High (DC Super Friends),Nick Eliopulos,Random House Books for Young Readers,2008-05-27,en,34.0,Juvenile Fiction,,,"SOMETHING STRANGE HAS happened to the birds of GOTHAM CITY. Pigeons are causing traffic jams, seagulls are making trouble at a nearby beach, and ostriches have escaped from the zoo! THE PENGUIN has enlisted his fine feathered friends to distract the DC SUPER FRIENDS while he swoops in and plucks GOTHAM’s biggest bank clean! Will BATMAN, SUPERMAN, and the other DC SUPER FRIENDS get there in time?",http://books.google.com/books/content?id=W1-UDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375856389,Google Books,Monster Parade,Shana Corey,Random House Books for Young Readers,2009-07-28,en,28.0,Juvenile Fiction,,,"It's October and Halloween is here! Kids will love this Step 2 Step into Reading leveled reader about all the fun of dressing up in costumes, trick or treating, and joining a Monster Parade. It’s time for all the neighborhood children to put on their costumes, march in a Halloween parade, have fun at a party, and head out for some trick-or-treating. This is an exuberantly rhymed celebration of Halloween! Step 2 Readers use basic vocabulary and short sentences to tell simple stories. For children",http://books.google.com/books/content?id=MhI_IsS4AqoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375861772,Google Books,Stuck in the Mud (Thomas & Friends),Shana Corey,Random House Books for Young Readers,2009-08-11,en,34.0,Juvenile Fiction,,,"Based on the new Thomas & Friends direct-to-DVD movie, Hero of the Rails, this Step 1 leveled reader will introduce children to reading—and the exciting world of Thomas and his friends!",http://books.google.com/books/content?id=VzNzlCZ5c6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375865855,Google Books,Gulliver in Lilliput,Lisa Findlay,Random House Books for Young Readers,2010-05-25,en,50.0,Juvenile Fiction,,,"This simple retelling of Jonathan Swift's Gulliver's Travels focuses on the first voyage—Gulliver's time on the island of Lilliput. It is a great way to introduce newly independent readers to this classic adventure. Gulliver loves the life he's leading. As a doctor on a ship he travels to some very interesting places. But life at sea can be dangerous, too. Gulliver's ship is destroyed in a storm, and it takes every bit of his strength to swim to shore, where he falls asleep all alone. But he is ",http://books.google.com/books/content?id=dMxvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9780375867163,Google Books,Show me the Honey (Dr. Seuss/Cat in the Hat),Tish Rabe,Random House Books for Young Readers,2010-08-10,en,50.0,Juvenile Fiction,,,"Where does honey come from? The Cat in the Hat knows that! It comes from bees, and what better way to learn about honey making than to visit inside a hive and see firsthand how it’s done? In this rhymed easy reader based on an episode from the new PBS Kids television show The Cat in the Hat Knows a Lot About That!, the Cat, Sally and Nick, and Things One and Two shrink to bee size and learn how bees communicate via dance, collect nectar and spit it into combs, turn it into honey, and seal the co",http://books.google.com/books/content?id=31eCDZt8WBQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
