isbn,data_source,title,authors,publisher,publication_date,language,page_count,categories,average_rating,ratings_count,description,thumbnail,binding,dimensions,weight
9781407553016,Google Books,Favourite Things,,,2010,en,,,,,,,,,
9781407553023,Google Books,Action Time,,,2010,en,,,,,,,,,
9781407553030,,,,,,,,,,,,,,,
9781407553047,,,,,,,,,,,,,,,
9781407553054,,,,,,,,,,,,,,,
9781407553122,,,,,,,,,,,,,,,
9781407553139,,,,,,,,,,,,,,,
9781407553146,,,,,,,,,,,,,,,
9781407553153,,,,,,,,,,,,,,,
9781407553160,,,,,,,,,,,,,,,
9781407553177,Google Books,Show white and the seven dwarfs,,,,en,,,,,,,,,
9781407553184,,,,,,,,,,,,,,,
9781407553191,,,,,,,,,,,,,,,
9781407553207,,,,,,,,,,,,,,,
9781407553214,,,,,,,,,,,,,,,
9781407553269,Google Books,Cars,,,,en,96.0,Automobiles,,,A collection of stories featuring retellings and new stories of the movie Cars.,,,,
9781407553276,Google Books,Storybook Collection,,,2010,en,0.0,Animated films,,,,,,,
9781407553283,Google Books,Storybook Collection,,,2010,en,96.0,Animated films,,,,,,,
9781407553290,Google Books,Storybook Collection,,,2010,en,92.0,,,,,,,,
9781407553306,Google Books,Disney Princess,,,2010,en,94.0,,,,,,,,
9781407553313,Google Books,Toy Story: Toy Story Storybook Collection,Tennant Redbank,Parragon Pubishing India,2010,en,100.0,Disney characters,,,,http://books.google.com/books/content?id=M5lAtI28J_oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407553320,,,,,,,,,,,,,,,
9781407553337,,,,,,,,,,,,,,,
9781407553962,,,,,,,,,,,,,,,
9781407553993,,,,,,,,,,,,,,,
9781407554648,Google Books,My Book of ABC and 123,,Parragon Pubishing India,2009,en,96.0,Alphabet books,,,,http://books.google.com/books/content?id=iiBddlF3JboC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407560366,Google Books,"Toy Story, Storybook Collection",,Parragon Books,2009,en,150.0,"Children's stories, American",,,,http://books.google.com/books/content?id=oi20uAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407560434,Google Books,Chuggington,Broomfield Publishing,Parragon Books,2009-09,en,0.0,Colors,,,,http://books.google.com/books/content?id=yz5mQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407566610,,,,,,,,,,,,,,,
9781407573427,Google Books,Over 150 Stories and Rhymes for Your Little One,Parragon Book Service Limited,Parragon Books,2009,en,384.0,Children's stories,,,"ENGLISH LITERATURE: COLLECTIONS & ANTHOLOGIES OF VARIOUS LITERARY FORMS. Specially written and designed to appeal to young children. Young and old, we all love nursery rhymes. Share the magic of your favourite characters and rhymes and read them again and again. Filled with delightful illustrations. Ages 0+",http://books.google.com/books/content?id=mvFyygAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407573434,Google Books,365 Stories and Rhymes for Every Bedtime,,,2009,en,384.0,"Children's stories, English",,,,http://books.google.com/books/content?id=0qBSXwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407574721,Google Books,A Secret Princess,,,2008,en,32.0,Princesses,,,,,,,
9781407574745,Google Books,Love Held Captive,,,2008,en,32.0,Beauty and the beast (Tale),,,,,,,
9781407574769,Google Books,Mater and the Ghost Light,,,2009,en,32.0,,,,,,,,
9781407574820,Google Books,Adventure in the Ocean!,,,2008,en,30.0,Fish,,,,,,,
9781407575780,ISBNdb,Disney Pixar Cars: Colour by Numbers,Parragon Books,Parragon Book Service Ltd,2009-09-01,en,32.0,Subjects,,,,https://images.isbndb.com/covers/3868493482689.jpg,Paperback,Weight: 0.35 Pounds,
9781407575803,ISBNdb,Disney Princess Copy and Colour Activity Book,unknown author,Parragon Book Service Ltd,,en,,,,,,https://images.isbndb.com/covers/3868723482689.jpg,Paperback,,
9781407576411,,,,,,,,,,,,,,,
9781407576428,Google Books,Disney: Dumbo,,Parragon Pubishing India,1992,en,28.0,,,,,http://books.google.com/books/content?id=xDj_eT13hyMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407576435,ISBNdb,Disney Lady & the Tramp Pocket Story,unknown author,Parragon,,en,,Subjects,,,,https://images.isbndb.com/covers/3875043482689.jpg,Unknown Binding,,
9781407576442,Google Books,Disney's The Lion King,,,2003,en,,Jungle animals,,,,,,,
9781407576459,Google Books,Disney's the Little Mermaid,Walt Disney,,1997,en,22.0,Fairy tales,,,"Paper dolls of Ariel the little mermaid and Prince Eric, with an assortment of costumes.",,,,
9781407576466,,,,,,,,,,,,,,,
9781407576473,,,,,,,,,,,,,,,
9781407576480,ISBNdb,Disney Princess Snow White & the Seven D,Dis-ch,Parragon Book Service Ltd,,en,,,,,,https://images.isbndb.com/covers/3875493482689.jpg,paperback,,
9781407576497,,,,,,,,,,,,,,,
9781407581675,Google Books,Disney 3D Story and Activity,,,2010-01-01,en,,,,,,http://books.google.com/books/content?id=NHZcQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407581705,Google Books,Princess 3d Story And Activity,,Parragon Books,2010-01-01,en,,,,,"These cool 3D books can be used either with or without 3D glasses thanks to awesome new 3D technology which is available exclusively to Parragon. Each book in this series: Fairies, Cars, Power Rangers and Princess contains: *Fun 3D story to read in 2D or eye popping 3D *Cool stickers in 3D.Fun 3D activities to complete with your favorite friends",http://books.google.com/books/content?id=ixuVQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407581712,Google Books,Disney 3D Story and Activity,,,2010-01-01,en,,,,,,http://books.google.com/books/content?id=DdRrQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407581958,Google Books,Playtime with Simba,,Parragon Books,2009,en,10.0,Board books,,,,http://books.google.com/books/content?id=gFgSSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407581965,Google Books,Disney 101 Dalmatians,"Disney Press, Disney",Parragon Books,2009,en,12.0,Board books,,,,http://books.google.com/books/content?id=yxnwSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407581972,Google Books,Rain and Shine,,Parragon Books,2009,en,10.0,Board book,,,"Learn with Bambi and his animal friends as he discovers the sun, rain, wind, snow and all the fun that the weather can bring.",http://books.google.com/books/content?id=dqkRSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407581989,Google Books,Pinocchio,,Parragon Books,2009,en,10.0,Board books,,,,http://books.google.com/books/content?id=daXtSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407582993,Google Books,Disney Pixar Toy Story,,Parragon Books,2009,en,10.0,Board books,,,,http://books.google.com/books/content?id=EfrxSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583006,Google Books,Colourful Cars,,Parragon Books,2009,en,12.0,Automobiles,,,,http://books.google.com/books/content?id=xRH3SAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583013,Google Books,Beauty and the Beast,,Parragon Books,2009,en,,Board books,,,,http://books.google.com/books/content?id=8uf1XwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583020,Google Books,"Disney ""Snow White and the Seven Dwarfs""",,Parragon Books,2009,en,0.0,Polarity,,,"Opposites are easy with Snow White and the dwarfs! Learn the words as they go about their day - cleaning, sleeping, working and having fun!",http://books.google.com/books/content?id=4h41SQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583037,Google Books,Cinderella,Disney Press,Parragon Books,2009,en,10.0,Board books,,,,http://books.google.com/books/content?id=SGxzSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583044,Google Books,The Little Mermaid,,Parragon Books,2009,en,10.0,Board books,,,,http://books.google.com/books/content?id=988CSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583051,Google Books,Disney Winnie the Pooh,,Parragon Books,2009,en,12.0,Senses and sensation,,,,http://books.google.com/books/content?id=1hgDSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583068,Google Books,"Disney Mini Board Books - ""Winnie the Pooh""",,Parragon Books,2010-01-01,en,10.0,,,,,http://books.google.com/books/content?id=k9nVSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583792,Google Books,Disney Boxset,,,2010-06,en,,,,,,,,,
9781407583815,Open Library,Disney Sticker Scene,,Parragon (Disney),,,,,,,,https://covers.openlibrary.org/b/id/13452210-M.jpg,,,
9781407583846,ISBNdb,Toy Story 3 (Disney Classic Storybook Collection),Parragon Books,Parragon Books,2010,en,96.0,Subjects,,,"The creators of the Toy Story films reopen the toy box and bring moviegoers back to the delightful world of our favorite gang of toy characters in Toy Story 3. Woody, Buzz Lightyear, and the rest of Andy’s toys are as fun and adventurous as always, but none of them can deny that things in Andy’s room have changed. Andy is seventeen now and just three days away from heading off to college. Find out what happens to the beloved toys when they’re compelled to leave Andy’s room behind and embark on a",https://images.isbndb.com/covers/3949153482689.jpg,Hardcover,Weight: 1.2 Pounds,
9781407583853,Google Books,Toy Story 3 the Magical Story,,,2010,en,,,,,,,,,
9781407583877,Google Books,Disney Construct and Play,,,2010-06,en,,,,,,http://books.google.com/books/content?id=bojrRgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407583914,Google Books,Disney 3d Story and Activity,,,2010-06,en,0.0,"Children's stories, American",,,,http://books.google.com/books/content?id=qCnzRQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407584034,Google Books,Toy Story,Parragon Book Service Limited,,2010,en,64.0,Creative activities and seat work,,,,http://books.google.com/books/content?id=72UzSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407584041,Open Library,Disney 3d Activity Centre,Disney,Parragon Book Service Ltd,2010-05-01,,,,,,,,,,
9781407584454,Google Books,Disney princess storybook collection,,,2009,en,96.0,Fairy tales,,,"""Princess Stories: Being a princess is wonderful! Do you want to know more about our world? Contains Royal wedding with Cinderella, Castle gardens with Snow White, become polite as a princess with beautiful Belle.""...from cover.",,,,
9781407584768,Google Books,Disney 3D Sticker Scene,,,2010-09-01,en,,,,,,http://books.google.com/books/content?id=NHBaYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407584782,Google Books,Disney 3D Sticker Scene,,,2010-09-01,en,,,,,,http://books.google.com/books/content?id=y0RfLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407584799,Google Books,Disney 3D Sticker Scene,,,2010-09-01,en,,,,,,http://books.google.com/books/content?id=72NgYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407587769,Google Books,Children's Animal Encyclopedia,"Sally Morgan, Mandy Holloway",,2009,en,224.0,Animals,,,,http://books.google.com/books/content?id=U0UhQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407587776,Google Books,Children's Human Body Encyclopedia,"Steve Parker, Dr. Sue Mann",,2009,en,224.0,Human anatomy,,,,,,,
9781407587783,Google Books,Children's Picture Encylopedia,Steve Parker,,2010,en,224.0,Children's encyclopedias and dictionaries,,,,http://books.google.com/books/content?id=WyBUQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407587790,Google Books,Children's Question and Answer Encyclopedia,"John Farndon, David Ashley",,2009,en,255.0,Children's questions and answers,,,,,,,
9781407587806,Google Books,Children's Dinosaur Encyclopedia,"John Malam, Steve Parker, James Pickering, Norma Burgin",Sandy Creek,2009-01-01,en,256.0,Dinosaurs,5.0,2.0,,http://books.google.com/books/content?id=HcB7QwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407587813,Google Books,Children's World History Encyclopedia,"Anita Ganeri, Hazel Martell, Brian Williams, Martin Camm",,2009,en,256.0,World history,,,,,,,
9781407588704,Google Books,My First 100 Words,,,2010,en,,Board book,,,BOARD BOOK. A first picture word book to learn 100 essential everyday words. Encourages picture and word recognition with simple questions. Easy-to-use grid design with photography. With educational consultant approval.,,,,
9781407588711,Google Books,My First 100 Shapes and Colours,,,2010,en,,Board book,,,,,,,
9781407588728,Google Books,My First 100 Things To Count,,,2010,en,,Board book,,,,,,,
9781407590172,ISBNdb,Disney 3d Floor Pad: Princess,Parragon Books,Parragon,2010-07-01,en,80.0,,,,,https://images.isbndb.com/covers/4012413482689.jpg,Paperback,,
9781407590219,,,,,,,,,,,,,,,
9781407592657,,,,,,,,,,,,,,,
9781407592664,Google Books,Magical Princess Stories,,,2010,en,115.0,,,,,,,,
9781407592671,,,,,,,,,,,,,,,
9781407593180,Google Books,Buzz Lightyear,Mark McVeigh,,2010,en,14.0,Board type books,,,,http://books.google.com/books/content?id=xDqFYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407593197,Google Books,Woody,,,2010,en,,Board type books,,,"BOARD BOOK. It sure is tough being a toy, so find out why in these fun storybooks. With scenes from the brand new toy story hit movie, and fun rhymes on every page, follow either Buzz's journey or Woody's adventure in the film.",http://books.google.com/books/content?id=f2rSYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407593203,Google Books,10 Mini Adventures,,,2010,en,,,,,,http://books.google.com/books/content?id=OllVAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407593210,ISBNdb,"Disney Little Library:Toy Story 3""",Egmont Uk Limited,Parragon Book Service Ltd,2010-05-01,en,10.0,,,,My first Little Library,https://images.isbndb.com/covers/4042793482689.jpg,Paperback,,
9781407593319,Google Books,Braking Brewster,,,2010,en,,,,,,,,,
9781407593326,Google Books,Clunky Wilson,,,2010,en,,,,,,,,,
9781407593333,Open Library,Chuggington Mini Paperback,,Parragon Book Service Ltd,,,,"Locomotives, Juvenile fiction, Children's stories",,,,https://covers.openlibrary.org/b/id/9132784-M.jpg,,,
9781407593340,Google Books,Chuggington,,,2010,en,,Children's stories,,,,,,,
9781407593357,Google Books,Chuggington,,,2010,en,,Children's stories,,,,,,,
9781407593364,Google Books,Chuggington,,,2010,en,,Children's stories,,,,,,,
9781407594965,Open Library,The Complete Toy Story Collection,Parragon,Parragon Book Service Ltd,2010,,,,,,,https://covers.openlibrary.org/b/id/9132771-M.jpg,,,
9781407596037,Google Books,Disney Book & CD Slipcase,,,2010-10-01,en,,,,,,http://books.google.com/books/content?id=gTFaLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781407596181,Open Library,3d Sticker Scene,,Parragon Book Service Ltd,2010-06-01,,,,,,,,,,
9781407596198,Open Library,3d Sticker Scene,,Parragon Book Service Ltd,2010-06-01,,,,,,,,,,
9781407596204,ISBNdb,3d Sticker Scene: Incredible Sharks,unknown author,Parragon Book Service Ltd,,en,,,,,New book,https://images.isbndb.com/covers/4072733482689.jpg,Paperback,Weight: 0.53 Pounds,
9781407596211,Open Library,3d Sticker Scene,,Parragon Book Service Ltd,2010-06-01,,,,,,,,,,
9781407596730,,,,,,,,,,,,,,,
9781409301783,Google Books,Big and Little,Mark Airs,Ladybird Books,2009,en,32.0,English language,,,"Learning the concepts of comparing and sorting is vital in helping young children develop vocabulary and understand the world around them. This bright book is designed to help parents amuse, interest and at the same time teach their children vital early learning skils. Useful parent tips are included throughout to support the learning process.",http://books.google.com/books/content?id=FXr5PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409301936,Google Books,Dentist Trip,"Neville Astley, Peppa Pig, Mark Baker",Penguin UK,2009,en,16.0,Fiction,,,"Join Peppa and her family in these beautiful storybooks. Perfect for piglets everywhere! Peppa, George and Mr Dinosaur are going to the dentist. It's George's first visit and he's a teeny bit nervous. Find out how the trip goes in this lovely little adventure.",http://books.google.com/books/content?id=Nb79KxNSTWUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409301943,Google Books,Peppa Pig,"Neville Astley, Mark Baker, Peppa Pig",Penguin UK,2009-11-05,en,16.0,Juvenile Fiction,5.0,1.0,Join Peppa and her family in these beautiful storybooks. Perfect for piglets everywhere! In this piggy tale it's George's first visit to the swimming pool and he's scared of the water. How will Mummy and Daddy Pig ever convince him to get in?,http://books.google.com/books/content?id=VUmOsxE6NZIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409303183,Google Books,Peppa Pig Little Library,Neville Astley,,2003,en,,,,,,http://books.google.com/books/content?id=PDb0mgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409304845,Google Books,Peppa's Washing Day,"Ladybird, Ladybird Books Staff, Neville Astley, Mark Baker",Ladybird Books,2009-12-01,en,16.0,Board books,,,"Oops! Daddy Pig's football uniform has been dirtied by Peppa, George and Mummy Pig jumping in a muddy puddle.",http://books.google.com/books/content?id=NKWtPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409304852,Google Books,Peppa Goes to the Library,Neville Astley,Peppa Pig,2009-12,en,0.0,Board books,,,Boring! Peppa is bored of all her old books. Join her on a fun-filled library trip to find more. A Peppa Pig storybook fans will want to read again and again!,http://books.google.com/books/content?id=-pQfQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409304869,Google Books,Daddy Pig's Fun Run,,Peppa Pig,2009-12,en,0.0,Peppa Pig (Fictitious character),,,"Huff, puff! Will Peppa Pig's Daddy make it to the finish line of the fun run and raise enough money to fix the school roof? A Peppa Pig storybook fans will want to read again and again!",http://books.google.com/books/content?id=2la3PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409304876,Google Books,The Fire Engine,"Neville Astley, Mark Baker",Peppa Pig,2009-12,en,0.0,Board books,,,Nee-naw! Peppa and George get to ride in a big red fire engine. But will there be any fires to put out? A Peppa Pig storybook fans will want to read again and again!,http://books.google.com/books/content?id=FsyxPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409305088,Google Books,Nursery Rhymes and Songs,"Neville Astley, Peppa Pig, Mark Baker",Peppa Pig,2010,en,0.0,Juvenile Fiction,,,"Join in the fun with Peppa's very own song and nursery rhyme book. All your favourite rhymes and Peppa tunes are beautifully presented in this delightful book and CD. Sing along to your heart's content with Peppa, her family and friends.",http://books.google.com/books/content?id=EqpWQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409305996,Google Books,Peppa Plays Football,"Neville Astley, Mark Baker",Penguin UK,2010,en,16.0,Juvenile Fiction,,,"This fantastic storybook from the number one pre-school brand and TV show, Peppa Pig is perfect playtime fun for everyone. Peppa Pig and Suzy Sheep like playing tennis, but when all their friends arrive and they don't have enough racquets Daddy Dog suggests they play football instead. But what will happen when they decide to play girls against boys? Find out in this delightful piggy tale.",http://books.google.com/books/content?id=e8gVXB0ctQwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409306177,Google Books,Fairy Tale Little Library,Lauren Holowaty,Ladybird,2010-08-30,en,0.0,Board books,,,"This cute Little Library includes six mini Peppa Pig classic fairy tale adventure books in a beautiful slipcase box. Join Princess Peppa Pig and Prince George in their wonderful fairy tale castle up in the clouds and read their stories time and time again. Based on the number one children's TV show Peppa Pig, this lovely set of books is perfect for presents, pocket money and party bags!",http://books.google.com/books/content?id=N2FPSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409308614,Google Books,Peppa and George's Shiny Sticker Play Book,Ladybird,Ladybird Books,2011-01,en,16.0,,,,Peppa and George's Shiny Sticker Play Book All little piggies love stickers! Join Peppa and George in this fun sticker play book. There are activities to do and games to play. Use the stickers to complete the fun! Grunt! Grunt!,http://books.google.com/books/content?id=oLrHbwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409308621,Google Books,Peppa and George's Wipe-Clean,Ladybird,Ladybird Books,2011-01-31,en,16.0,,,,"Peppa and George's Wipe-Clean Activity Book Use your very own Peppa Pig pen on the piggy puzzles, games and activities in this book. Then, wipe the pages clean and start all over again! Endless fun with Peppa, George, and all their friends. Snort! Snort!",http://books.google.com/books/content?id=6KPAbwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409308638,Google Books,Peppa's First Pet,Ladybird,Peppa Pig,2011,en,0.0,Board books,,,"Splish, splash! Oh dear, Peppa Pig's pet fish, Goldie, isn't well. Join Peppa, George and Mummy Pig in this delightful board storybook, based on the number one and award-winning preschool children's TV show on Channel 5 and Nickelodeon, as they take an exciting bus ride to the vet to find out why Goldie isn't eating her food. Be sure to look out for the extra little picture story running throughout the book. Every Peppa fan from 2-5 years old will enjoy this 'first experience' story about caring",http://books.google.com/books/content?id=xre7bwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409308645,Google Books,Peppa and the Big Train,,Ladybird,2011,en,0.0,Board books,,,"This lovely little storybook is based on the number one and award-winning preschool children's TV show on Channel 5 and Nickelodeon - Peppa Pig! When you read this story, your child will be jumping for joy as they board the train and follow Peppa on an exciting journey. Every Peppa fan from 2-5 will love looking at the colourful pictures and laughing along with Peppa, George, Mummy and Daddy Pig and all their friends. Read the story at playtime, preschool or even tucked up in bed and it will alw",http://books.google.com/books/content?id=VRq8bwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409504504,Google Books,Wind-Up Plane Book,Gill Doherty,Usborne Books,2009-06-01,en,14.0,Air travel,,,This board book is perfect for sharing with small children who love the excitement of aeroplanes and airports. It follows the story of a young boy on his first flight in a plane from take off to landing.,http://books.google.com/books/content?id=PapMPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409507819,Google Books,Wind Up Racing Cars,Sam Taplin,Usborne Books,2009-09-01,en,14.0,"Automobiles, Racing",,,"Presents the thrills and spills of the Grand Prix. This title features three sturdy tracks embedded in the pages. It accompanies two wind-up racing car toys that can be raced, overtaking one another, crashing and swerving to be the first to reach the finish line.",http://books.google.com/books/content?id=QkpIXwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409508687,Google Books,Going to the Dentist,"Anne Civardi, Michelle Bates",Usborne Books,2009,en,16.0,Children,,,"This series introduces young children, in an amusing and friendly way, to situations they might find themselves in for the first time. Stephen Cartwright's gently humorous illustrations are full of thins for children to look at, learn from and talk about with parents.",http://books.google.com/books/content?id=HNVbPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409509233,Google Books,Fat Cat on a Mat and Other Tales,Phil Roxbee Cox,Usborne Books,2010,en,0.0,Juvenile Nonfiction,,,"This book proposes an amusing game of counting and tales. Between counting and telling, we count numbers and count on a story. Will it then be a story counted on and told? And besides, if we count the syllables to make verses from, that's three times counted on, and if we count on what the illustrations tell us it's¿ the never ending tale, or better said, the never ending tale to be counted on.",http://books.google.com/books/content?id=vKudQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409510291,Google Books,The Complete Book of First Experiences,Anne Civardi,Usborne Books,2009,en,0.0,Airplanes,,,"This series introduces young children, in an amusing and friendly way to situations they might find themselves in for the first time.",http://books.google.com/books/content?id=-UZAQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409516477,Google Books,Little Book of First Experiences,Anne Civardi,,2009-12,en,144.0,"Children's stories, English",,,"The nine stories included in this collection introduce children to situations they might find themselves in for the first time. Stephen Cartwright's gently humorous illustrations are bursting with things for children to look at, learn from and talk about.",http://books.google.com/books/content?id=WI-QQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781409519034,Google Books,See Inside Ships,Conrad Mason,See Inside,2010,en,14.0,Board books,5.0,1.0,"A new addition to the See Inside series about ships throughout history from Viking longboats to Spanish galleons, ironclads to aircraft carriers. Age 6+ Lifting the flaps reveals the insides of ships from across the ages, explaining in simple, clear language what they were used for, how the crew and passengers lived and how they sailed the oceans. Age 6+",http://books.google.com/books/content?id=yfyNSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781412705158,Google Books,Sesame Street: 12 Board Books,Pi Kids,Pi Kids,2006-07,en,120.0,Juvenile Fiction,,,"Come along with Elmo, Big Bird and their pals to explore concepts including counting, sounds, thymes, shapes, music, color, and more! These 12 sturdy board books with just-my-size pages are perfect for little hands, leading the way to a lifelong love of reading. Books are also housed in a convenient carry case with a handle, for fun and fashion on the go!",http://books.google.com/books/content?id=2dPgPAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781412718820,Google Books,Story 2 BK Block 12 Bk Set,"Caleb Burroughs, Publications International",PIL Kids,2009-06-01,en,12.0,Juvenile Fiction,,,"12 stories in the portable case. Some of the stories help children to develop specific skills, such as counting, and indentifying colors. Other's focus on positive themes, such as perseverance, making friends and teamwork. All the books are sized so that little hands can manage them easily.",http://books.google.com/books/content?id=LSdWPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781412718851,Google Books,Book Block: Disney Princess,Publications International,,2010,en,0.0,,,,,,,,
9781412766944,Google Books,Thomas & Friends,,,2007,en,24.0,Juvenile Nonfiction,,,Find objects hidden in the drawings.,http://books.google.com/books/content?id=DnrU2vTPlWgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781416915089,Google Books,Dora's Sleepover,Lara Bergen,Simon and Schuster,2006-10-10,en,28.0,Juvenile Fiction,,,Dora and Boots prepare for a sleepover.,http://books.google.com/books/content?id=e0TFmEWnTEEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,
9781416924784,Google Books,Around the World!,,Simon and Schuster,2006-10,en,28.0,Juvenile Fiction,,,Dora must deliver friendship bracelets around the world.,http://books.google.com/books/content?id=x07NU5JEE14C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,
9781416947776,Google Books,Dora and the Rainbow Kite Festival,Christine Ricci,Simon Spotlight/Nickelodeon,2008-02-05,en,28.0,Juvenile Fiction,,,Dora and Boots help a lost kite get to the Rainbow Kite Festival.,http://books.google.com/books/content?id=moJ7Hgci8OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781416958659,Google Books,Dora's Snowy Forest Adventure,,Simon Spotlight/Nickelodeon,2008-09-16,en,28.0,Juvenile Fiction,,,The Snow Princess needs Dora's help before the Snowy Forest melts away forever!,http://books.google.com/books/content?id=fdG7xJ8j1-4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781416968764,Google Books,Giant Octopus to the Rescue,,Simon Spotlight/Nickelodeon,2009-02-10,en,24.0,Juvenile Fiction,,,Diego and Giant Octopus need your help to rescue sea animals from underwater volcanoes!,http://books.google.com/books/content?id=i7WhPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781420659191,Google Books,"Beginning Skills, Pre-K Through K",Teacher Created Resources,Teacher Created Resources,2009-03,en,64.0,Education,,,"This series is designed to help children practice and master a variety of skills, including beginning math, penmanship, reading comprehension, and much more. These books can be used to enrich learning, reinforce skills, and provide extra practice. The compact size (7"" x 9"") allows the books to fit easily in children s hands and backpacks.",http://books.google.com/books/content?id=jz9OYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
9781420659337,Google Books,"Following Directions, Grade K-1","Teacher Created Resources, Eric Migliaccio",,2007-02-14,en,0.0,Child development,,,"This series is designed to help children practice and master a variety of skills, including beginning math, penmanship, reading comprehension, and much more. These books can be used to enrich learning, reinforce skills, and provide extra practice. The compact size (7"" x 9"") allows the books to fit easily in children s hands and backpacks.",http://books.google.com/books/content?id=gcMVGQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,
