isbn,title,series,year_quarter,q_num,q_since_first,trandate,marked_price,book_original_price,invoice,quantity,price,discount,disc_amt,amount,year,month,first_trandate
9781447287575,Andy Griffiths: The 52-Storey Treehouse,andy_griffiths,2021Q4,4,31,2021-12-21,89.000,95.00,30007402,30,80.385,65,0,843.985,"2,021",12,2014-01-03
9781529045932,Andy Griffiths: The 130 Storey Treehouse (Export Edt),andy_griffiths,2021Q4,4,31,2021-12-21,89.000,89.00,30007402,40,80.385,65,0,"1,125.390","2,021",12,2014-01-03
9781447279808,Andy Griffiths: The 26-Storey Treehouse,andy_griffiths,2021Q4,4,31,2021-12-21,89.000,95.00,30007402,40,80.385,65,0,"1,125.390","2,021",12,2014-01-03
9781509833771,Andy Griffiths: The 104-Storey Treehouse,andy_griffiths,2021Q4,4,31,2021-12-21,89.000,89.00,30007402,40,80.385,65,0,"1,125.390","2,021",12,2014-01-03
9781447287599,Andy Griffiths: The 65-Storey Treehouse,andy_griffiths,2021Q4,4,31,2021-12-21,89.000,95.00,30007402,20,80.385,65,0,562.695,"2,021",12,2014-01-03
9781338801941,Cat Kid Comic Club #3: On Purpose HB,cat_kid,2022Q1,1,32,2022-01-17,129.900,99.00,30007427,"1,008",101.972,65,0,"35,975.530","2,022",1,2014-01-03
9789814906531,Dog Man (PB) #08: Fetch-22,dog_man,2022Q1,1,32,2022-03-25,89.900,89.90,30007435,40,70.572,65,0,988.001,"2,022",3,2014-01-03
9789814947657,Dog Man (PB) #10 : Mothering Heights,dog_man,2022Q1,1,32,2022-03-25,89.900,89.90,30007435,40,70.572,65,0,988.001,"2,022",3,2014-01-03
9789814855808,Captain Underpants #4 Colour Edition PB: Perilous Plot of Prof Poopypants,captain_underpants,2022Q1,1,32,2022-03-25,89.900,79.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9789814820042,Dog Man (PB) #04: Dog Man And Cat Kid,dog_man,2022Q1,1,32,2022-03-25,79.900,69.90,30007435,40,62.722,65,0,878.101,"2,022",3,2014-01-03
9789814864046,Captain Underpants #6 Colour Edition PB: Big Bad Battle of the Bionic Booger PT1,captain_underpants,2022Q1,1,32,2022-03-25,89.900,79.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9789814919999,Captain Underpants #10 Colour Edition PB CU and Revolting Revenge of the Radioact,captain_underpants,2022Q1,1,32,2022-03-25,99.900,89.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9789811157486,Dog Man (PB) #02: Unleashed,dog_man,2022Q1,1,32,2022-03-25,79.900,69.90,30007435,40,62.722,65,0,878.101,"2,022",3,2014-01-03
9789814857970,Captain Underpants #1 Color Edition: The Adventures of Captain Underpants,captain_underpants,2022Q1,1,32,2022-03-25,89.900,79.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9789811191008,Dog Man (PB) #05: Lord of the Fleas,dog_man,2022Q1,1,32,2022-03-25,79.900,69.90,30007435,40,62.722,65,0,878.101,"2,022",3,2014-01-03
9789814919982,Captain Underpants #9 Colour Edition PB: The Terrifying Return of Tippy Tinkletro,captain_underpants,2022Q1,1,32,2022-03-25,99.900,89.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9789814864015,Captain Underpants #3 Color Edition: Invasion of Incredibly Naughty,captain_underpants,2022Q1,1,32,2022-03-25,89.900,79.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9789814947640,Dog Man (PB) #09: Grime & Punishment,dog_man,2022Q1,1,32,2022-03-25,89.900,89.90,30007435,40,70.572,65,0,988.001,"2,022",3,2014-01-03
9789814885775,Dog Man (PB) #7: For Whom The Ball Rolls,dog_man,2022Q1,1,32,2022-03-25,79.900,79.90,30007435,40,62.722,65,0,878.101,"2,022",3,2014-01-03
9789814855792,Captain Underpants: Color Edition Boxed Set (#1-6),captain_underpants,2022Q1,1,32,2022-03-25,529.900,399.90,30007435,10,313.922,65,0,"1,098.686","2,022",3,2014-01-03
9789811157493,Dog Man (PB) #03: A Tale of Two Kitties,dog_man,2022Q1,1,32,2022-03-25,79.900,69.90,30007435,30,62.722,65,0,658.537,"2,022",3,2014-01-03
9789814855815,Captain Underpants #5 Colour Edition PB: Wrath of the Wicked Wedgie Woman,captain_underpants,2022Q1,1,32,2022-03-25,89.900,79.90,30007435,20,70.572,65,0,494.001,"2,022",3,2014-01-03
9789814857987,Dog Man (PB) #06: Brawl of the Wild,dog_man,2022Q1,1,32,2022-03-25,79.900,79.90,30007435,40,62.722,65,0,878.101,"2,022",3,2014-01-03
